loop_i,video_fid,t_sec,camera_id,track_id,x1,y1,x2,y2,conf,hits,start_frame,chef_id
16,80,2.667,cam3,1,794.8,0.5,1134.8,357.5,0.943,16,1,1
17,85,2.833,cam1,1,564.3,224.5,862.6,650.2,0.933,17,1,1
17,85,2.833,cam2,1,710.9,45.9,1065.8,615.1,0.954,17,1,1
17,85,2.833,cam3,1,831.8,-0.3,1159.9,341.1,0.924,17,1,1
18,90,3.0,cam1,1,568.4,241.9,898.3,685.8,0.938,18,1,1
18,90,3.0,cam2,1,764.5,41.0,1050.1,615.7,0.945,18,1,1
18,90,3.0,cam3,1,850.2,1.0,1157.8,339.3,0.881,18,1,1
19,95,3.167,cam1,1,574.4,269.3,956.2,703.4,0.915,19,1,1
19,95,3.167,cam2,1,780.1,45.9,1072.6,615.0,0.943,19,1,1
19,95,3.167,cam3,1,861.1,0.5,1162.7,340.7,0.922,19,1,1
20,100,3.333,cam1,1,588.6,287.9,1001.4,715.7,0.954,20,1,1
20,100,3.333,cam2,1,775.0,47.1,1120.2,615.8,0.927,20,1,1
20,100,3.333,cam3,1,859.7,0.9,1084.3,339.6,0.898,20,1,1
21,105,3.5,cam1,1,603.1,303.2,991.5,716.6,0.945,21,1,1
21,105,3.5,cam2,1,771.2,44.4,1139.8,615.9,0.919,21,1,1
21,105,3.5,cam3,1,859.1,1.1,1074.9,339.8,0.838,21,1,1
22,110,3.667,cam1,1,609.9,312.4,1005.7,716.4,0.946,22,1,1
22,110,3.667,cam2,1,770.2,46.8,1136.4,616.3,0.941,22,1,1
22,110,3.667,cam3,1,860.1,1.2,1073.5,340.1,0.886,22,1,1
23,115,3.833,cam1,1,608.9,317.0,1006.1,715.5,0.936,23,1,1
23,115,3.833,cam2,1,771.4,48.5,1136.5,615.4,0.932,23,1,1
23,115,3.833,cam3,1,860.0,1.1,1076.1,340.0,0.887,23,1,1
24,120,4.0,cam1,1,606.1,326.7,1006.6,715.8,0.943,24,1,1
24,120,4.0,cam2,1,775.3,56.2,1128.9,614.9,0.933,24,1,1
24,120,4.0,cam3,1,861.7,0.9,1083.2,340.1,0.901,24,1,1
25,125,4.167,cam1,1,603.4,325.2,1002.5,716.7,0.947,25,1,1
25,125,4.167,cam2,1,775.9,57.6,1134.9,615.2,0.929,25,1,1
25,125,4.167,cam3,1,861.1,0.8,1086.2,339.9,0.887,25,1,1
26,130,4.333,cam1,1,599.9,321.2,996.7,715.8,0.955,26,1,1
26,130,4.333,cam2,1,777.3,58.7,1134.7,615.2,0.93,26,1,1
26,130,4.333,cam3,1,860.8,0.6,1093.4,340.0,0.882,26,1,1
27,135,4.5,cam1,1,597.8,314.2,988.6,714.6,0.952,27,1,1
27,135,4.5,cam2,1,778.2,56.4,1134.3,615.4,0.932,27,1,1
27,135,4.5,cam3,1,860.1,0.8,1098.4,339.8,0.883,27,1,1
28,140,4.667,cam1,1,594.8,307.7,973.6,716.2,0.948,28,1,1
28,140,4.667,cam2,1,779.9,54.8,1123.2,615.9,0.935,28,1,1
28,140,4.667,cam3,1,859.9,0.5,1106.8,340.2,0.869,28,1,1
29,145,4.833,cam1,1,597.9,298.1,963.6,713.5,0.945,29,1,1
29,145,4.833,cam2,1,783.4,48.7,1086.0,615.3,0.95,29,1,1
29,145,4.833,cam3,1,860.2,0.2,1153.4,340.6,0.928,29,1,1
30,150,5.0,cam1,1,601.5,294.5,964.7,713.5,0.943,30,1,1
30,150,5.0,cam2,1,780.3,45.7,1087.3,614.9,0.954,30,1,1
30,150,5.0,cam3,1,860.1,0.5,1146.7,340.1,0.924,30,1,1
31,155,5.167,cam1,1,609.3,296.9,960.1,716.5,0.942,31,1,1
31,155,5.167,cam2,1,777.4,44.2,1085.0,615.2,0.954,31,1,1
31,155,5.167,cam3,1,859.9,0.4,1150.8,339.9,0.902,31,1,1
32,160,5.333,cam1,1,616.0,296.2,975.3,713.4,0.929,32,1,1
32,160,5.333,cam2,1,775.0,40.3,1084.1,615.2,0.953,32,1,1
32,160,5.333,cam3,1,859.1,0.9,1129.0,339.8,0.911,32,1,1
33,165,5.5,cam1,1,623.6,299.8,980.1,714.2,0.937,33,1,1
33,165,5.5,cam2,1,774.5,40.1,1082.2,616.0,0.946,33,1,1
33,165,5.5,cam3,1,860.3,0.8,1130.5,338.4,0.879,33,1,1
34,170,5.667,cam1,1,625.3,299.8,983.8,716.5,0.932,34,1,1
34,170,5.667,cam2,1,772.1,40.1,1080.6,615.7,0.943,34,1,1
34,170,5.667,cam3,1,861.2,1.2,1126.5,338.1,0.908,34,1,1
35,175,5.833,cam1,1,627.4,306.1,990.8,713.5,0.936,35,1,1
35,175,5.833,cam2,1,774.2,40.6,1083.1,615.4,0.945,35,1,1
35,175,5.833,cam3,1,860.8,1.0,1122.6,338.3,0.896,35,1,1
36,180,6.0,cam1,1,627.4,306.5,991.2,715.7,0.937,36,1,1
36,180,6.0,cam2,1,773.1,40.6,1083.5,616.2,0.946,36,1,1
36,180,6.0,cam3,1,860.4,1.6,1122.9,337.2,0.914,36,1,1
37,185,6.167,cam1,1,628.0,303.8,987.3,713.0,0.941,37,1,1
37,185,6.167,cam2,1,775.7,40.2,1081.2,615.2,0.951,37,1,1
37,185,6.167,cam3,1,860.9,1.2,1122.9,337.9,0.914,37,1,1
38,190,6.333,cam1,1,626.1,295.7,975.5,715.8,0.936,38,1,1
38,190,6.333,cam2,1,775.9,43.6,1077.0,615.4,0.948,38,1,1
38,190,6.333,cam3,1,860.0,1.1,1122.3,338.1,0.915,38,1,1
39,195,6.5,cam1,1,625.9,298.5,965.9,713.3,0.937,39,1,1
39,195,6.5,cam2,1,778.3,47.6,1068.0,615.1,0.95,39,1,1
39,195,6.5,cam3,1,860.6,1.0,1125.1,338.0,0.902,39,1,1
