seq,fid,cam,tid,layer,want,actual,actual_outcome,E1_choice,E1_outcome,E1_want_score,E2_choice,E2_outcome,E2_want_score,E3_choice,E3_outcome,E3_want_score
seq_004,1730,camera_5,15,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_004,1735,camera_5,16,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_004,1760,camera_6,9,L1_ghost,,4,錯,,開新,,4,錯,,4,錯,
seq_004,1795,camera_4,8,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_004,1800,camera_5,17,OK,4,4,對,4,對,3.901,4,對,2.708,4,對,3.901
seq_004,1810,camera_4,9,OK,4,4,對,4,對,3.901,4,對,3.698,4,對,4.892
seq_004,1820,camera_3,26,OK,4,4,對,4,對,3.901,4,對,2.708,4,對,3.901
seq_004,1835,camera_5,18,OK,4,4,對,4,對,3.901,4,對,2.708,4,對,3.901
seq_004,1840,camera_7,1,L2_not_in_candidates,4,,開新,,開新,,22,錯,-2.006,22,錯,-0.812
seq_004,1845,camera_5,19,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_004,1850,camera_1,21,L2_not_in_candidates,4,,開新,,開新,,,開新,-2.422,23,錯,-1.228
seq_004,1865,camera_1,22,L2_not_in_candidates,26,,開新,,開新,,,開新,,,開新,
seq_004,1880,camera_5,20,OK,4,4,對,4,對,4.307,4,對,3.113,4,對,4.307
seq_004,1900,camera_1,23,L1_ghost,,,開新,,開新,,26,錯,,26,錯,
seq_004,1935,camera_5,21,OK,4,4,對,4,對,4.307,4,對,3.113,4,對,4.307
seq_004,1940,camera_3,27,L2_not_in_candidates,24,4,錯,4,錯,,4,錯,,4,錯,
seq_004,1940,camera_5,22,L1_ghost,,4,錯,,開新,,,開新,,4,錯,
seq_004,1950,camera_7,2,L2_not_in_candidates,4,,開新,,開新,,,開新,-2.155,,開新,-0.961
seq_004,1955,camera_5,23,OK,4,4,對,4,對,4.307,4,對,3.113,4,對,4.307
seq_004,1960,camera_5,24,OK,4,4,對,4,對,4.307,4,對,3.113,4,對,4.307
seq_004,1965,camera_2,24,OK,4,4,對,4,對,3.901,4,對,2.708,4,對,3.901
seq_004,1965,camera_5,25,L1_ghost,,4,錯,,開新,,4,錯,,4,錯,
seq_004,1975,camera_5,26,L2_not_in_candidates,29,4,錯,4,錯,,4,錯,,4,錯,
seq_004,1975,camera_5,27,L1_ghost,,4,錯,,開新,,4,錯,,4,錯,
seq_004,1995,camera_5,28,L1_ghost,,4,錯,,開新,,4,錯,,4,錯,
seq_004,1995,camera_5,29,OK,4,4,對,4,對,4.307,4,對,3.113,4,對,4.307
seq_004,2025,camera_6,10,L2_not_in_candidates,27,,開新,4,錯,,,開新,-2.416,4,錯,-1.222
seq_004,2035,camera_5,30,L1_ghost,,4,錯,,開新,,4,錯,,4,錯,
seq_004,2105,camera_5,31,L1_ghost,,4,錯,,開新,,,開新,,4,錯,
seq_004,2115,camera_5,32,L1_ghost,,4,錯,,開新,,4,錯,,4,錯,
seq_004,2115,camera_6,11,L1_ghost,,,開新,,開新,,,開新,,,開新,
seq_004,2150,camera_5,33,L1_ghost,,4,錯,,開新,,,開新,,4,錯,
seq_004,2165,camera_2,25,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_004,2175,camera_4,10,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_004,2195,camera_4,11,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_004,2195,camera_6,12,L2_not_in_candidates,25,,開新,4,錯,,31,錯,,31,錯,
seq_004,2225,camera_7,3,L2_not_in_candidates,30,,開新,,開新,,,開新,,31,錯,
seq_004,2230,camera_2,26,OK,4,4,對,4,對,3.901,4,對,2.708,4,對,3.901
seq_004,2235,camera_3,28,OK,4,4,對,4,對,3.901,4,對,2.708,4,對,3.901
seq_004,2245,camera_5,34,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_004,2250,camera_4,12,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_004,2275,camera_5,35,L3_not_top1,32,4,錯,4,錯,,4,錯,,4,錯,
seq_004,2280,camera_3,29,OK,4,4,對,4,對,3.901,4,對,2.708,4,對,3.901
seq_004,2280,camera_6,13,L1_ghost,,,開新,,開新,,,開新,,31,錯,
seq_004,2305,camera_1,24,L2_not_in_candidates,4,,開新,,開新,,,開新,-2.413,23,錯,-1.219
seq_004,2310,camera_5,36,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_004,2310,camera_5,37,OK,4,4,對,4,對,4.307,4,對,3.113,4,對,4.307
seq_004,2320,camera_1,25,L2_not_in_candidates,4,,開新,,開新,,,開新,-2.413,23,錯,-1.219
seq_004,2365,camera_5,38,L1_ghost,,4,錯,,開新,,4,錯,,4,錯,
seq_004,2385,camera_5,39,OK,4,4,對,4,對,4.307,4,對,3.113,4,對,4.307
seq_004,2390,camera_7,4,L2_not_in_candidates,33,,開新,,開新,,,開新,-0.565,,開新,0.629
seq_004,2395,camera_1,26,L2_not_in_candidates,4,,開新,,開新,,36,錯,-2.441,36,錯,-1.247
seq_004,2395,camera_1,27,L1_ghost,,,開新,,開新,,36,錯,,36,錯,
seq_004,2425,camera_1,28,L1_ghost,,,開新,,開新,,39,錯,,39,錯,
seq_004,2435,camera_1,29,L1_ghost,,,開新,,開新,,39,錯,,39,錯,
seq_004,2455,camera_2,27,L2_not_in_candidates,35,4,錯,4,錯,,4,錯,,4,錯,
seq_004,2470,camera_5,40,L2_not_in_candidates,38,34,錯,34,錯,,34,錯,,34,錯,
seq_004,2490,camera_4,13,L2_not_in_candidates,36,4,錯,4,錯,,4,錯,-2.441,4,錯,-1.247
seq_004,2490,camera_5,41,L1_ghost,,30,錯,,開新,,,開新,,,開新,
seq_004,2515,camera_3,30,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_004,2555,camera_5,42,L1_ghost,,4,錯,,開新,,4,錯,,4,錯,
seq_004,2560,camera_4,14,OK,4,4,對,4,對,4.307,4,對,3.113,4,對,4.307
seq_004,2585,camera_4,15,L3_not_top1,34,4,錯,4,錯,,4,錯,-2.442,4,錯,-1.248
seq_004,2620,camera_5,43,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_004,2640,camera_2,28,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_004,2665,camera_3,31,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_004,2665,camera_5,44,L1_ghost,,4,錯,,開新,,,開新,,4,錯,
seq_004,2700,camera_5,45,OK,4,4,對,4,對,4.307,4,對,3.113,4,對,4.307
seq_004,2735,camera_5,46,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_004,2740,camera_5,47,L1_ghost,,4,錯,,開新,,4,錯,,4,錯,
seq_004,2795,camera_5,48,L1_ghost,,4,錯,,開新,,4,錯,,4,錯,
seq_004,2795,camera_5,49,OK,4,4,對,4,對,4.307,4,對,3.959,4,對,5.153
seq_004,2810,camera_7,5,L4_below_threshold,37,,開新,,開新,0.121,,開新,-1.073,,開新,0.121
seq_004,2855,camera_2,29,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_004,2880,camera_1,30,L1_ghost,,,開新,,開新,,,開新,,,開新,
seq_004,2880,camera_3,32,OK,4,4,對,4,對,4.307,4,對,3.113,4,對,4.307
seq_004,2885,camera_2,30,OK,4,4,對,4,對,4.307,4,對,3.113,4,對,4.307
seq_004,2910,camera_1,31,L1_ghost,,,開新,,開新,,,開新,,,開新,
seq_004,2925,camera_5,50,OK,4,4,對,4,對,4.307,4,對,3.113,4,對,4.307
seq_004,2925,camera_5,51,L1_ghost,,4,錯,,開新,,,開新,,30,錯,
seq_004,2930,camera_6,14,L2_not_in_candidates,42,,開新,30,錯,,,開新,,30,錯,
seq_004,2935,camera_1,32,L1_ghost,,,開新,,開新,,,開新,,,開新,
seq_004,2935,camera_5,52,L1_ghost,,45,錯,,開新,,,開新,,30,錯,
seq_004,2945,camera_1,33,L1_ghost,,,開新,,開新,,,開新,,,開新,
seq_004,2945,camera_6,15,L1_ghost,,,開新,,開新,,,開新,,,開新,
seq_004,2960,camera_5,53,L1_ghost,,48,錯,,開新,,,開新,,4,錯,
seq_004,2965,camera_1,34,L2_not_in_candidates,4,,開新,,開新,,,開新,-2.469,,開新,-1.275
seq_004,2965,camera_6,16,L3_not_top1,4,,開新,48,錯,,,開新,-0.125,48,錯,1.069
seq_004,3005,camera_6,17,L1_ghost,,,開新,,開新,,48,錯,,48,錯,
seq_004,3010,camera_5,54,L1_ghost,,4,錯,,開新,,4,錯,,4,錯,
seq_004,3015,camera_6,18,L1_ghost,,,開新,,開新,,48,錯,,48,錯,
seq_004,3020,camera_5,55,L3_not_top1,45,4,錯,4,錯,,4,錯,,4,錯,
seq_004,3030,camera_2,31,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_004,3040,camera_5,56,L1_ghost,,4,錯,,開新,,4,錯,,4,錯,
seq_004,3065,camera_2,32,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_004,3070,camera_4,16,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_004,3080,camera_2,33,L2_not_in_candidates,49,4,錯,4,錯,,4,錯,,4,錯,
seq_004,3080,camera_5,57,L1_ghost,,4,錯,,開新,,45,錯,,45,錯,
seq_004,3090,camera_3,33,OK,4,4,對,4,對,4.307,4,對,3.113,4,對,4.307
seq_004,3115,camera_2,34,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_004,3150,camera_4,17,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_004,3155,camera_7,6,L2_not_in_candidates,50,,開新,,開新,,,開新,-2.298,,開新,-1.105
seq_004,3195,camera_5,58,OK,4,4,對,4,對,5.0,4,對,3.927,4,對,5.121
seq_004,3200,camera_6,19,L3_not_top1,4,48,錯,48,錯,,48,錯,0.057,48,錯,1.251
seq_004,3220,camera_5,59,L1_ghost,,4,錯,,開新,,4,錯,,4,錯,
seq_004,3225,camera_5,60,L3_not_top1,4,48,錯,48,錯,,48,錯,2.829,48,錯,4.023
seq_004,3230,camera_6,20,L3_not_top1,4,,開新,48,錯,,,開新,0.195,48,錯,1.389
seq_004,3240,camera_4,18,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_004,3265,camera_7,7,L2_not_in_candidates,53,,開新,,開新,,53,對,1.727,53,對,2.921
seq_004,3280,camera_2,35,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_004,3300,camera_6,21,L3_not_top1,4,48,錯,48,錯,,48,錯,-0.125,48,錯,1.069
seq_004,3310,camera_5,61,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_004,3315,camera_7,8,L2_not_in_candidates,55,,開新,,開新,,55,對,1.902,55,對,3.096
seq_004,3325,camera_6,22,L1_ghost,,48,錯,,開新,,,開新,,,開新,
seq_004,3330,camera_3,34,OK,4,4,對,4,對,4.307,4,對,3.113,4,對,4.307
seq_004,3360,camera_4,19,L3_not_top1,48,4,錯,4,錯,,4,錯,-3.247,4,錯,-2.053
seq_004,3395,camera_2,36,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_004,3415,camera_6,23,L1_ghost,,48,錯,,開新,,48,錯,,48,錯,
seq_004,3435,camera_7,9,L2_not_in_candidates,48,,開新,,開新,,,開新,-0.091,54,錯,1.103
seq_004,3440,camera_5,62,L1_ghost,,4,錯,,開新,,,開新,,4,錯,
seq_004,3445,camera_1,35,L2_not_in_candidates,4,,開新,,開新,,,開新,-2.454,,開新,-1.26
seq_004,3455,camera_4,20,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_004,3460,camera_4,21,L2_not_in_candidates,58,4,錯,4,錯,,4,錯,,4,錯,
seq_004,3480,camera_5,63,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_004,3480,camera_7,10,L2_not_in_candidates,54,,開新,,開新,,,開新,-2.221,,開新,-1.027
seq_004,3500,camera_5,64,L1_ghost,,4,錯,,開新,,4,錯,,4,錯,
seq_004,3500,camera_7,11,L2_not_in_candidates,56,,開新,,開新,,,開新,1.54,56,對,2.734
seq_004,3530,camera_3,35,OK,4,4,對,4,對,3.901,4,對,2.708,4,對,3.901
seq_004,3550,camera_3,36,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_004,3560,camera_7,12,L2_not_in_candidates,48,,開新,,開新,,,開新,-2.612,,開新,-1.418
seq_004,3575,camera_7,13,L2_not_in_candidates,57,,開新,,開新,,,開新,0.2,,開新,1.394
seq_004,3590,camera_3,37,OK,4,4,對,4,對,4.307,4,對,3.113,4,對,4.307
seq_004,3600,camera_5,65,L1_ghost,,48,錯,,開新,,,開新,,,開新,
seq_004,3625,camera_2,37,OK,4,4,對,4,對,4.307,4,對,3.113,4,對,4.307
seq_004,3640,camera_5,66,L1_ghost,,48,錯,,開新,,,開新,,4,錯,
seq_004,3695,camera_1,36,L2_not_in_candidates,4,,開新,,開新,,,開新,-2.418,,開新,-1.224
seq_004,3710,camera_4,22,L2_not_in_candidates,63,4,錯,4,錯,,4,錯,,4,錯,
seq_004,3710,camera_5,67,L1_ghost,,48,錯,,開新,,,開新,,,開新,
seq_004,3720,camera_1,37,L1_ghost,,,開新,,開新,,,開新,,,開新,
seq_004,3730,camera_6,24,L1_ghost,,48,錯,,開新,,,開新,,48,錯,
seq_004,3740,camera_7,14,L2_not_in_candidates,61,,開新,,開新,,,開新,-0.648,,開新,0.545
seq_004,3780,camera_2,38,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_004,3845,camera_7,15,L2_not_in_candidates,65,,開新,,開新,,,開新,1.33,65,對,2.524
seq_004,3865,camera_4,23,OK,4,4,對,4,對,4.307,4,對,3.113,4,對,4.307
seq_004,3885,camera_6,25,L3_not_top1,4,48,錯,48,錯,,48,錯,0.171,48,錯,1.365
seq_004,3900,camera_7,16,L4_below_threshold,62,,開新,,開新,-1.633,,開新,-2.827,60,錯,-1.633
seq_004,3910,camera_7,17,L2_not_in_candidates,59,,開新,,開新,,60,錯,-0.002,60,錯,1.192
seq_004,3925,camera_7,18,L2_not_in_candidates,60,,開新,,開新,,,開新,1.449,60,對,2.642
seq_004,3945,camera_2,39,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_004,3965,camera_6,26,L2_not_in_candidates,68,48,錯,48,錯,,48,錯,,48,錯,
seq_004,3970,camera_7,19,L2_not_in_candidates,48,,開新,,開新,,,開新,-2.585,68,錯,-1.391
seq_004,3975,camera_5,68,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_004,4000,camera_6,27,L1_ghost,,48,錯,,開新,,,開新,,,開新,
seq_004,4010,camera_2,40,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_004,4010,camera_3,38,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_004,4020,camera_6,28,L2_not_in_candidates,67,48,錯,48,錯,,48,錯,,48,錯,
seq_004,4040,camera_6,29,L1_ghost,,48,錯,,開新,,,開新,,,開新,
seq_004,4050,camera_4,24,L3_not_top1,4,48,錯,48,錯,,48,錯,-0.994,48,錯,0.199
seq_004,4060,camera_1,38,L2_not_in_candidates,48,,開新,,開新,,,開新,-3.052,,開新,-1.858
seq_004,4060,camera_6,30,L2_not_in_candidates,69,48,錯,48,錯,,48,錯,,48,錯,
seq_004,4060,camera_6,31,L1_ghost,,48,錯,,開新,,48,錯,,48,錯,
seq_004,4075,camera_5,69,OK,48,48,對,48,對,5.0,48,對,3.806,48,對,5.0
seq_004,4080,camera_5,70,L1_ghost,,48,錯,,開新,,,開新,,,開新,
seq_004,4095,camera_3,39,L2_not_in_candidates,71,48,錯,48,錯,,48,錯,,48,錯,
seq_004,4105,camera_1,39,L1_ghost,,,開新,,開新,,,開新,,,開新,
seq_004,4105,camera_5,71,OK,48,48,對,48,對,5.0,48,對,3.806,48,對,5.0
seq_004,4115,camera_5,72,OK,48,48,對,48,對,5.0,48,對,3.806,48,對,5.0
seq_004,4140,camera_5,73,OK,48,48,對,48,對,5.0,48,對,3.806,48,對,5.0
seq_004,4145,camera_2,41,OK,48,48,對,48,對,5.0,48,對,3.806,48,對,5.0
seq_004,4170,camera_1,40,L1_ghost,,,開新,,開新,,,開新,,,開新,
seq_004,4170,camera_2,42,L1_ghost,,48,錯,,開新,,,開新,,,開新,
seq_004,4270,camera_5,74,L1_ghost,,48,錯,,開新,,48,錯,,48,錯,
seq_004,4310,camera_5,75,L1_ghost,,48,錯,,開新,,48,錯,,48,錯,
seq_004,4315,camera_3,40,L1_ghost,,48,錯,,開新,,,開新,,,開新,
seq_004,4325,camera_2,43,OK,48,48,對,48,對,3.614,48,對,2.42,48,對,3.614
seq_004,4340,camera_5,76,L2_not_in_candidates,70,48,錯,48,錯,,48,錯,,48,錯,
seq_004,4345,camera_2,44,OK,48,48,對,48,對,3.614,48,對,2.42,48,對,3.614
seq_004,4355,camera_4,25,L3_not_top1,4,48,錯,48,錯,,48,錯,-2.585,48,錯,-1.391
seq_004,4360,camera_6,32,OK,48,48,對,48,對,3.054,48,對,1.86,48,對,3.054
seq_004,4370,camera_2,45,OK,48,48,對,48,對,5.0,48,對,3.806,48,對,5.0
seq_004,4370,camera_4,26,OK,48,48,對,48,對,3.901,48,對,2.708,48,對,3.901
seq_004,4370,camera_6,33,L1_ghost,,48,錯,,開新,,,開新,,,開新,
seq_004,4400,camera_2,46,OK,48,48,對,48,對,4.307,48,對,3.113,48,對,4.307
seq_004,4405,camera_6,34,L2_not_in_candidates,66,48,錯,48,錯,,48,錯,,48,錯,
seq_004,4420,camera_1,41,L2_not_in_candidates,48,,開新,,開新,,,開新,-2.413,,開新,-1.219
seq_004,4420,camera_6,35,L1_ghost,,48,錯,,開新,,48,錯,,48,錯,
