seq,fid,cam,tid,layer,gt_id,want,chef,matched,actual_top,n_pending,want_pending,want_score,want_dt,new_choice
seq_004,580,camera_3,14,OK,2,4,4,True,3.8063,3,True,0.55,2.333,
seq_004,600,camera_5,2,L2_not_in_candidates,5,7,4,True,3.8063,0,False,,,
seq_004,615,camera_3,15,OK,6,4,4,True,3.8063,5,True,0.097,3.333,
seq_004,620,camera_2,5,OK,3,4,4,True,3.8063,3,True,2.164,1.167,
seq_004,635,camera_5,3,OK,4,4,4,True,3.8063,0,False,,,
seq_004,640,camera_1,7,L1_ghost,,,10,False,,2,False,,,7
seq_004,640,camera_2,6,OK,5,4,4,True,3.8063,3,True,1.686,1.667,
seq_004,645,camera_1,8,L2_not_in_candidates,6,4,11,False,-1.0837,2,False,,,
seq_004,645,camera_2,7,L2_not_in_candidates,6,11,4,True,3.8063,3,False,,,
seq_004,660,camera_2,8,OK,3,4,4,True,3.8063,4,True,0.724,2.5,
seq_004,670,camera_2,9,OK,7,4,4,True,3.8063,6,True,0.51,2.667,
seq_004,720,camera_2,10,OK,7,4,4,True,3.8063,8,True,0.775,1.333,
seq_004,735,camera_3,16,L1_ghost,,,4,True,,5,False,,,4
seq_004,740,camera_1,9,L1_ghost,,,12,False,,4,False,,,
seq_004,770,camera_1,10,L1_ghost,,,13,False,,2,False,,,
seq_004,780,camera_2,11,L1_ghost,,,4,True,,5,False,,,
seq_004,790,camera_5,4,OK,6,4,4,True,3.8063,1,True,0.017,3.5,
seq_004,800,camera_2,12,OK,2,4,4,True,3.8063,7,True,3.16,0.5,
seq_004,825,camera_1,11,L2_not_in_candidates,2,4,14,False,-1.026,2,False,,,8
seq_004,835,camera_5,5,OK,7,4,4,True,3.8063,1,True,-0.733,5.0,
seq_004,860,camera_2,13,OK,5,4,4,True,3.8063,3,True,0.412,2.5,
seq_004,875,camera_2,14,OK,5,4,4,True,3.8063,1,True,0.238,3.0,
seq_004,885,camera_5,6,L1_ghost,,,4,True,,2,False,,,
seq_004,890,camera_5,7,OK,4,4,4,True,3.8063,2,True,-2.017,0.333,
seq_004,960,camera_2,15,L2_not_in_candidates,2,14,4,True,3.8063,5,False,,,
seq_004,960,camera_2,16,OK,4,4,4,True,3.8063,5,True,3.036,0.667,
seq_004,965,camera_6,0,OK,6,4,4,True,1.8603,0,False,,,
seq_004,970,camera_2,17,L1_ghost,,,4,True,,5,False,,,
seq_004,995,camera_6,1,OK,5,4,4,True,1.8603,0,False,,,
seq_004,1030,camera_1,12,L2_not_in_candidates,7,4,15,False,-1.5864,1,False,,,
seq_004,1040,camera_6,2,L1_ghost,,,4,True,,0,False,,,
seq_004,1055,camera_6,3,L1_ghost,,,4,True,,0,False,,,
seq_004,1075,camera_4,1,OK,2,4,4,True,3.8063,0,False,,,
seq_004,1080,camera_2,18,OK,3,4,4,True,3.8063,3,True,1.671,1.333,
seq_004,1100,camera_3,17,OK,3,4,4,True,3.1131,1,True,2.922,0.5,
seq_004,1105,camera_2,19,OK,4,4,4,True,3.1131,2,True,0.798,2.167,
seq_004,1115,camera_1,13,L2_not_in_candidates,3,4,16,False,-2.9838,2,False,,,15
seq_004,1125,camera_2,20,OK,4,4,4,True,3.1131,3,True,3.547,0.5,4
seq_004,1145,camera_6,4,L1_ghost,,,4,True,,1,False,,,4
seq_004,1155,camera_1,14,L1_ghost,,,17,False,,2,False,,,
seq_004,1160,camera_1,15,L2_not_in_candidates,4,4,18,False,-3.7523,3,False,,,
seq_004,1165,camera_4,2,L2_not_in_candidates,7,15,4,True,3.1131,0,False,,,
seq_004,1175,camera_3,18,L1_ghost,,,4,True,,1,False,,,
seq_004,1185,camera_3,19,OK,7,4,4,True,2.7076,1,True,0.096,3.333,
seq_004,1220,camera_3,20,L2_not_in_candidates,4,18,4,True,2.7076,3,False,,,
seq_004,1220,camera_4,3,OK,8,4,4,True,2.7076,1,True,3.173,0.5,4
seq_004,1225,camera_1,16,L1_ghost,,,19,False,,5,False,,,14
seq_004,1280,camera_1,17,L1_ghost,,,20,False,,6,False,,,
seq_004,1280,camera_3,21,OK,7,4,4,True,2.42,2,True,-0.032,3.167,
seq_004,1285,camera_5,8,L2_not_in_candidates,3,16,4,True,2.42,0,False,,,
seq_004,1295,camera_1,18,L1_ghost,,,21,False,,7,False,,,
seq_004,1300,camera_4,4,OK,4,4,4,True,3.8063,2,True,-0.807,3.167,
seq_004,1300,camera_5,9,OK,6,4,4,True,2.7076,0,False,,,
seq_004,1305,camera_7,0,L2_not_in_candidates,5,4,22,False,-2.9145,0,False,,,
seq_004,1315,camera_3,22,L1_ghost,,,4,True,,2,False,,,
seq_004,1330,camera_5,10,L1_ghost,,,4,True,,0,False,,,
seq_004,1335,camera_4,5,OK,8,4,4,True,2.7076,2,True,0.329,2.167,
seq_004,1375,camera_3,23,OK,4,4,4,True,2.7076,2,True,2.43,0.333,
seq_004,1400,camera_3,24,L2_not_in_candidates,1,1,4,True,2.7076,4,False,,,
seq_004,1440,camera_2,21,OK,1,4,4,True,2.7076,1,True,-0.659,1.5,
seq_004,1505,camera_5,11,OK,3,4,4,True,2.7076,0,False,,,
seq_004,1505,camera_5,12,L1_ghost,,,4,True,,0,False,,,
seq_004,1510,camera_1,19,L1_ghost,,,23,False,,0,False,,,
seq_004,1510,camera_4,6,L1_ghost,,,4,True,,1,False,,,
seq_004,1515,camera_2,22,OK,7,4,4,True,2.1968,1,True,1.535,1.5,
seq_004,1565,camera_5,13,OK,2,4,4,True,2.42,2,True,4.098,0.167,4
seq_004,1605,camera_4,7,OK,3,4,4,True,2.42,1,True,-1.392,2.5,
seq_004,1625,camera_3,25,L1_ghost,,,4,True,,2,False,,,4
seq_004,1655,camera_2,23,OK,3,4,4,True,2.1968,1,True,1.214,2.0,
seq_004,1670,camera_5,14,OK,4,4,4,True,2.42,4,True,1.08,2.167,
seq_004,1670,camera_6,5,OK,7,4,4,True,1.8603,0,False,,,
seq_004,1680,camera_6,6,L2_not_in_candidates,5,22,4,True,1.8603,0,False,,,
seq_004,1685,camera_6,7,L1_ghost,,,4,True,,0,False,,,
seq_004,1695,camera_1,20,L2_not_in_candidates,3,4,24,False,-4.0268,1,False,,,
seq_004,1720,camera_6,8,L1_ghost,,,4,True,,0,False,,,
seq_004,1730,camera_5,15,L1_ghost,,,4,True,,1,False,,,
seq_004,1735,camera_5,16,L1_ghost,,,4,True,,1,False,,,
seq_004,1760,camera_6,9,L1_ghost,,,4,True,,1,False,,,4
seq_004,1795,camera_4,8,L1_ghost,,,4,True,,1,False,,,
seq_004,1800,camera_5,17,OK,6,4,4,True,2.7076,0,False,,,
seq_004,1810,camera_4,9,OK,2,4,4,True,2.7076,2,True,3.698,0.5,4
seq_004,1820,camera_3,26,OK,1,4,4,True,2.7076,2,True,-0.149,3.833,
seq_004,1835,camera_5,18,OK,8,4,4,True,2.7076,0,False,,,
seq_004,1840,camera_7,1,L2_not_in_candidates,7,4,25,False,-3.052,1,False,,,22
seq_004,1845,camera_5,19,L1_ghost,,,4,True,,0,False,,,
seq_004,1850,camera_1,21,L2_not_in_candidates,1,4,26,False,-2.6715,1,False,,,
seq_004,1865,camera_1,22,L2_not_in_candidates,1,26,27,False,-2.9584,0,False,,,
seq_004,1880,camera_5,20,OK,4,4,4,True,3.1131,1,True,3.022,0.5,
seq_004,1900,camera_1,23,L1_ghost,,,28,False,,2,False,,,26
seq_004,1935,camera_5,21,OK,2,4,4,True,3.1131,3,True,0.86,2.333,
seq_004,1940,camera_3,27,L2_not_in_candidates,3,24,4,True,3.1131,2,False,,,
seq_004,1940,camera_5,22,L1_ghost,,,4,True,,5,False,,,
seq_004,1950,camera_7,2,L2_not_in_candidates,5,4,29,False,-3.6596,1,False,,,
seq_004,1955,camera_5,23,OK,4,4,4,True,3.1131,6,True,2.193,0.667,
seq_004,1960,camera_5,24,OK,3,4,4,True,3.1131,7,True,2.36,0.5,
seq_004,1965,camera_2,24,OK,3,4,4,True,2.7076,1,True,-1.901,0.5,
seq_004,1965,camera_5,25,L1_ghost,,,4,True,,7,False,,,4
seq_004,1975,camera_5,26,L2_not_in_candidates,5,29,4,True,3.1131,7,False,,,
seq_004,1975,camera_5,27,L1_ghost,,,4,True,,7,False,,,4
seq_004,1995,camera_5,28,L1_ghost,,,4,True,,8,False,,,4
seq_004,1995,camera_5,29,OK,4,4,4,True,3.1131,8,True,2.258,1.167,
seq_004,2025,camera_6,10,L2_not_in_candidates,1,27,30,False,0.9159,2,False,,,
seq_004,2035,camera_5,30,L1_ghost,,,4,True,,11,False,,,4
seq_004,2105,camera_5,31,L1_ghost,,,4,True,,9,False,,,
seq_004,2115,camera_5,32,L1_ghost,,,4,True,,9,False,,,4
seq_004,2115,camera_6,11,L1_ghost,,,31,False,,1,False,,,
seq_004,2150,camera_5,33,L1_ghost,,,4,True,,7,False,,,
seq_004,2165,camera_2,25,OK,3,4,4,True,3.8063,1,True,2.76,1.0,
seq_004,2175,camera_4,10,OK,6,4,4,True,3.8063,1,True,1.318,2.0,
seq_004,2195,camera_4,11,OK,3,4,4,True,3.8063,1,True,0.529,2.667,
seq_004,2195,camera_6,12,L2_not_in_candidates,7,25,32,False,1.3213,1,False,,,31
seq_004,2225,camera_7,3,L2_not_in_candidates,1,30,33,False,-2.401,0,False,,,
seq_004,2230,camera_2,26,OK,6,4,4,True,2.7076,2,True,1.599,1.5,
seq_004,2235,camera_3,28,OK,6,4,4,True,2.7076,0,False,,,
seq_004,2245,camera_5,34,OK,3,4,4,True,3.8063,8,True,0.605,2.333,
seq_004,2250,camera_4,12,OK,5,4,4,True,3.8063,1,True,-0.491,4.5,
seq_004,2275,camera_5,35,L3_not_top1,7,32,4,True,3.8063,6,False,,,
seq_004,2280,camera_3,29,OK,3,4,4,True,2.7076,0,False,,,
seq_004,2280,camera_6,13,L1_ghost,,,34,False,,1,False,,,
seq_004,2305,camera_1,24,L2_not_in_candidates,7,4,35,False,-2.4112,1,False,,,
seq_004,2310,camera_5,36,L1_ghost,,,4,True,,5,False,,,
seq_004,2310,camera_5,37,OK,4,4,4,True,3.1131,5,True,0.014,3.167,
seq_004,2320,camera_1,25,L2_not_in_candidates,3,4,36,False,-2.4274,1,False,,,
seq_004,2365,camera_5,38,L1_ghost,,,4,True,,2,False,,,4
seq_004,2385,camera_5,39,OK,2,4,4,True,3.1131,4,True,0.655,2.0,
seq_004,2390,camera_7,4,L2_not_in_candidates,1,33,37,False,-2.6119,2,True,-0.565,4.667,
seq_004,2395,camera_1,26,L2_not_in_candidates,6,4,38,False,-2.6305,2,False,,,36
seq_004,2395,camera_1,27,L1_ghost,,,39,False,,2,False,,,36
seq_004,2425,camera_1,28,L1_ghost,,,40,False,,2,False,,,39
seq_004,2435,camera_1,29,L1_ghost,,,41,False,,2,False,,,39
seq_004,2455,camera_2,27,L2_not_in_candidates,7,35,4,True,3.8063,1,False,,,
seq_004,2470,camera_5,40,L2_not_in_candidates,6,38,34,True,3.1131,4,False,,,
seq_004,2490,camera_4,13,L2_not_in_candidates,3,36,4,True,3.1131,0,False,,,
seq_004,2490,camera_5,41,L1_ghost,,,30,True,,3,False,,,
seq_004,2515,camera_3,30,OK,7,4,4,True,3.8063,2,True,1.301,2.0,
seq_004,2555,camera_5,42,L1_ghost,,,4,True,,2,False,,,4
seq_004,2560,camera_4,14,OK,7,4,4,True,3.1131,0,False,,,
seq_004,2585,camera_4,15,L3_not_top1,6,34,4,True,3.1131,0,False,,,
seq_004,2620,camera_5,43,OK,8,4,4,True,3.8063,2,True,2.992,0.167,
seq_004,2640,camera_2,28,OK,7,4,4,True,3.8063,1,True,-0.571,4.667,
seq_004,2665,camera_3,31,L1_ghost,,,4,True,,0,False,,,
seq_004,2665,camera_5,44,L1_ghost,,,4,True,,1,False,,,
seq_004,2700,camera_5,45,OK,6,4,4,True,3.1131,2,True,1.782,0.667,
seq_004,2735,camera_5,46,L1_ghost,,,4,True,,2,False,,,
seq_004,2740,camera_5,47,L1_ghost,,,4,True,,2,False,,,4
seq_004,2795,camera_5,48,L1_ghost,,,4,True,,5,False,,,4
seq_004,2795,camera_5,49,OK,5,4,4,True,3.1131,5,True,3.959,0.167,4
seq_004,2810,camera_7,5,L4_below_threshold,1,37,42,False,-1.0727,0,False,,,
seq_004,2855,camera_2,29,OK,3,4,4,True,3.8063,1,True,-0.641,4.667,
seq_004,2880,camera_1,30,L1_ghost,,,43,False,,1,False,,,
seq_004,2880,camera_3,32,OK,3,4,4,True,3.1131,1,True,-1.697,1.667,
seq_004,2885,camera_2,30,OK,6,4,4,True,3.1131,0,False,,,
seq_004,2910,camera_1,31,L1_ghost,,,44,False,,1,False,,,
seq_004,2925,camera_5,50,OK,3,4,4,True,3.1131,5,True,3.01,0.833,
seq_004,2925,camera_5,51,L1_ghost,,,4,True,,5,False,,,
seq_004,2930,camera_6,14,L2_not_in_candidates,1,42,45,False,1.3213,0,False,,,
seq_004,2935,camera_1,32,L1_ghost,,,46,False,,1,False,,,
seq_004,2935,camera_5,52,L1_ghost,,,45,True,,5,False,,,
seq_004,2945,camera_1,33,L1_ghost,,,47,False,,1,False,,,
seq_004,2945,camera_6,15,L1_ghost,,,48,False,,0,False,,,
seq_004,2960,camera_5,53,L1_ghost,,,48,True,,3,False,,,
seq_004,2965,camera_1,34,L2_not_in_candidates,7,4,49,False,-3.441,1,False,,,
seq_004,2965,camera_6,16,L3_not_top1,6,4,50,False,1.3213,0,False,,,
seq_004,3005,camera_6,17,L1_ghost,,,51,False,,1,False,,,48
seq_004,3010,camera_5,54,L1_ghost,,,4,True,,4,False,,,4
seq_004,3015,camera_6,18,L1_ghost,,,52,False,,1,False,,,48
seq_004,3020,camera_5,55,L3_not_top1,1,45,4,True,3.8063,6,False,,,
seq_004,3030,camera_2,31,OK,2,4,4,True,3.8063,1,True,-0.316,4.167,
seq_004,3040,camera_5,56,L1_ghost,,,4,True,,6,False,,,4
seq_004,3065,camera_2,32,OK,8,4,4,True,3.8063,1,True,2.72,1.0,
seq_004,3070,camera_4,16,OK,2,4,4,True,3.8063,1,True,-0.247,4.0,
seq_004,3080,camera_2,33,L2_not_in_candidates,7,49,4,True,3.8063,2,False,,,
seq_004,3080,camera_5,57,L1_ghost,,,4,True,,8,False,,,45
seq_004,3090,camera_3,33,OK,7,4,4,True,3.1131,1,True,-1.874,4.5,
seq_004,3115,camera_2,34,L1_ghost,,,4,True,,1,False,,,
seq_004,3150,camera_4,17,OK,8,4,4,True,3.8063,1,True,3.254,0.667,
seq_004,3155,camera_7,6,L2_not_in_candidates,6,50,53,False,-3.2746,1,False,,,
seq_004,3195,camera_5,58,OK,3,4,4,True,3.8063,4,True,3.927,0.333,4
seq_004,3200,camera_6,19,L3_not_top1,2,4,48,True,1.7268,3,False,,,
seq_004,3220,camera_5,59,L1_ghost,,,4,True,,5,False,,,4
seq_004,3225,camera_5,60,L3_not_top1,7,4,48,True,3.8063,4,True,2.829,0.333,
seq_004,3230,camera_6,20,L3_not_top1,4,4,54,False,1.609,0,False,,,
seq_004,3240,camera_4,18,OK,5,4,4,True,3.8063,2,True,1.33,2.0,
seq_004,3265,camera_7,7,L2_not_in_candidates,6,53,55,False,-2.7098,1,True,1.727,0.833,53
seq_004,3280,camera_2,35,OK,1,4,4,True,3.8063,1,True,2.192,1.333,
seq_004,3300,camera_6,21,L3_not_top1,8,4,48,True,1.8603,0,False,,,
seq_004,3310,camera_5,61,OK,3,4,4,True,3.8063,4,True,0.688,2.5,
seq_004,3315,camera_7,8,L2_not_in_candidates,6,55,56,False,-2.9057,2,True,1.902,0.167,55
seq_004,3325,camera_6,22,L1_ghost,,,48,True,,0,False,,,
seq_004,3330,camera_3,34,OK,5,4,4,True,3.1131,1,True,-0.235,3.833,
seq_004,3360,camera_4,19,L3_not_top1,7,48,4,True,3.1131,0,False,,,
seq_004,3395,camera_2,36,OK,5,4,4,True,3.8063,1,True,0.328,2.667,
seq_004,3415,camera_6,23,L1_ghost,,,48,True,,3,False,,,48
seq_004,3435,camera_7,9,L2_not_in_candidates,2,48,57,False,-1.7569,1,False,,,
seq_004,3440,camera_5,62,L1_ghost,,,4,True,,2,False,,,
seq_004,3445,camera_1,35,L2_not_in_candidates,5,4,58,False,-2.443,0,False,,,
seq_004,3455,camera_4,20,OK,1,4,4,True,3.8063,2,True,0.713,2.5,
seq_004,3460,camera_4,21,L2_not_in_candidates,5,58,4,True,3.8063,2,False,,,
seq_004,3480,camera_5,63,OK,7,4,4,True,3.8063,2,True,0.168,3.167,
seq_004,3480,camera_7,10,L2_not_in_candidates,4,54,59,False,-1.6252,1,False,,,
seq_004,3500,camera_5,64,L1_ghost,,,4,True,,3,False,,,4
seq_004,3500,camera_7,11,L2_not_in_candidates,6,56,60,False,-3.2746,1,True,1.54,1.833,
seq_004,3530,camera_3,35,OK,1,4,4,True,2.7076,0,False,,,
seq_004,3550,camera_3,36,L1_ghost,,,4,True,,0,False,,,
seq_004,3560,camera_7,12,L2_not_in_candidates,8,48,61,False,-2.5335,1,False,,,
seq_004,3575,camera_7,13,L2_not_in_candidates,2,57,62,False,-2.5923,2,True,0.2,0.167,
seq_004,3590,camera_3,37,OK,1,4,4,True,3.1131,1,True,1.903,1.333,
seq_004,3600,camera_5,65,L1_ghost,,,48,True,,1,False,,,
seq_004,3625,camera_2,37,OK,1,4,4,True,3.1131,0,False,,,
seq_004,3640,camera_5,66,L1_ghost,,,48,True,,1,False,,,
seq_004,3695,camera_1,36,L2_not_in_candidates,1,4,63,False,-1.9269,0,False,,,
seq_004,3710,camera_4,22,L2_not_in_candidates,1,63,4,True,2.7076,1,False,,,
seq_004,3710,camera_5,67,L1_ghost,,,48,True,,2,False,,,
seq_004,3720,camera_1,37,L1_ghost,,,64,False,,0,False,,,
seq_004,3730,camera_6,24,L1_ghost,,,48,True,,1,False,,,
seq_004,3740,camera_7,14,L2_not_in_candidates,8,61,65,False,-1.2873,2,True,-0.648,4.833,
seq_004,3780,camera_2,38,OK,3,4,4,True,3.8063,1,True,-1.919,0.333,
seq_004,3845,camera_7,15,L2_not_in_candidates,8,65,66,False,-2.3249,2,True,1.33,2.0,
seq_004,3865,camera_4,23,OK,3,4,4,True,3.1131,1,True,-0.76,4.833,
seq_004,3885,camera_6,25,L3_not_top1,3,4,48,True,2.1968,2,False,,,
seq_004,3900,camera_7,16,L4_below_threshold,2,62,67,False,-2.827,3,False,,,
seq_004,3910,camera_7,17,L2_not_in_candidates,4,59,68,False,-2.866,3,True,-0.002,3.333,60
seq_004,3925,camera_7,18,L2_not_in_candidates,6,60,69,False,-3.0771,3,True,1.449,1.167,
seq_004,3945,camera_2,39,OK,7,4,4,True,3.8063,1,True,-0.663,4.833,
seq_004,3965,camera_6,26,L2_not_in_candidates,4,68,48,True,3.1131,0,False,,,
seq_004,3970,camera_7,19,L2_not_in_candidates,3,48,70,False,-0.8151,2,False,,,
seq_004,3975,camera_5,68,OK,1,4,4,True,3.8063,1,True,-0.898,3.833,
seq_004,4000,camera_6,27,L1_ghost,,,48,True,,0,False,,,
seq_004,4010,camera_2,40,OK,1,4,4,True,3.8063,0,False,,,
seq_004,4010,camera_3,38,OK,1,4,4,True,3.8063,1,True,0.735,2.5,
seq_004,4020,camera_6,28,L2_not_in_candidates,2,67,48,True,3.1131,0,False,,,
seq_004,4040,camera_6,29,L1_ghost,,,48,True,,0,False,,,
seq_004,4050,camera_4,24,L3_not_top1,7,4,48,True,3.1131,0,False,,,
seq_004,4060,camera_1,38,L2_not_in_candidates,7,48,71,False,-2.4476,0,False,,,
seq_004,4060,camera_6,30,L2_not_in_candidates,6,69,48,True,3.1131,1,False,,,
seq_004,4060,camera_6,31,L1_ghost,,,48,True,,1,False,,,48
seq_004,4075,camera_5,69,OK,2,48,48,True,3.8063,0,False,,,
seq_004,4080,camera_5,70,L1_ghost,,,48,True,,0,False,,,
seq_004,4095,camera_3,39,L2_not_in_candidates,7,71,48,True,3.8063,0,False,,,
seq_004,4105,camera_1,39,L1_ghost,,,72,False,,0,False,,,
seq_004,4105,camera_5,71,OK,6,48,48,True,3.8063,0,False,,,
seq_004,4115,camera_5,72,OK,4,48,48,True,3.8063,0,False,,,
seq_004,4140,camera_5,73,OK,2,48,48,True,3.8063,0,False,,,
seq_004,4145,camera_2,41,OK,7,48,48,True,3.8063,1,False,,,
seq_004,4170,camera_1,40,L1_ghost,,,73,False,,1,False,,,
seq_004,4170,camera_2,42,L1_ghost,,,48,True,,1,False,,,
seq_004,4270,camera_5,74,L1_ghost,,,48,True,,4,False,,,48
seq_004,4310,camera_5,75,L1_ghost,,,48,True,,4,False,,,48
seq_004,4315,camera_3,40,L1_ghost,,,48,True,,1,False,,,
seq_004,4325,camera_2,43,OK,2,48,48,True,2.42,3,True,-0.265,1.5,
seq_004,4340,camera_5,76,L2_not_in_candidates,3,70,48,True,3.8063,3,False,,,
seq_004,4345,camera_2,44,OK,7,48,48,True,2.42,2,True,-0.65,4.833,
seq_004,4355,camera_4,25,L3_not_top1,1,4,48,True,2.7076,0,False,,,
seq_004,4360,camera_6,32,OK,3,48,48,True,1.8603,1,True,-0.758,4.5,
seq_004,4370,camera_2,45,OK,4,48,48,True,3.8063,1,True,-0.543,3.0,
seq_004,4370,camera_4,26,OK,7,48,48,True,2.7076,0,False,,,
seq_004,4370,camera_6,33,L1_ghost,,,48,True,,1,False,,,
seq_004,4400,camera_2,46,OK,6,48,48,True,3.1131,1,True,-0.873,4.0,
seq_004,4405,camera_6,34,L2_not_in_candidates,8,66,48,True,2.0145,1,False,,,48
seq_004,4420,camera_1,41,L2_not_in_candidates,2,48,74,False,-1.5738,0,False,,,
seq_004,4420,camera_6,35,L1_ghost,,,48,True,,1,False,,,48
seq_004,4425,camera_1,42,L1_ghost,,,75,False,,0,False,,,
seq_004,4425,camera_1,43,L1_ghost,,,76,False,,0,False,,,
seq_004,4440,camera_1,44,L2_not_in_candidates,2,74,77,False,-1.8351,0,False,,,
seq_004,4445,camera_4,27,OK,7,48,48,True,2.7076,2,True,2.247,1.333,
seq_004,4445,camera_5,77,OK,8,48,48,True,2.7076,4,True,1.254,1.0,
seq_004,4480,camera_1,45,L2_not_in_candidates,4,48,78,False,-2.573,1,False,,,74
seq_004,4480,camera_4,28,OK,7,48,48,True,2.7076,3,True,-0.073,3.5,
seq_004,4535,camera_3,41,L2_not_in_candidates,4,78,48,True,2.7076,1,False,,,
seq_004,4570,camera_2,47,OK,3,48,48,True,3.1131,2,True,0.443,1.0,
seq_004,4570,camera_5,78,L1_ghost,,,48,True,,1,False,,,
seq_004,4595,camera_4,29,OK,6,48,48,True,2.7076,2,True,-0.009,3.5,
seq_004,4595,camera_6,36,OK,7,48,48,True,2.7076,2,True,0.345,1.5,
seq_004,4630,camera_5,79,OK,6,48,48,True,3.1131,2,True,2.835,0.833,
seq_004,4635,camera_3,42,OK,6,48,48,True,3.1131,0,False,,,
seq_004,4640,camera_1,46,L2_not_in_candidates,4,48,79,False,-1.3242,3,False,,,
seq_004,4650,camera_6,37,L1_ghost,,,48,True,,1,False,,,
seq_004,4690,camera_2,48,OK,8,48,48,True,3.8063,3,True,-0.883,3.667,
seq_004,4695,camera_3,43,L2_not_in_candidates,2,77,48,True,3.8063,2,False,,,
seq_004,4695,camera_3,44,OK,2,48,48,True,3.8063,2,True,3.346,0.667,
seq_004,4715,camera_2,49,OK,6,48,48,True,3.8063,2,True,-0.619,4.5,
seq_004,4715,camera_5,80,OK,3,48,48,True,3.8063,2,True,-0.065,3.667,
seq_004,4720,camera_3,45,OK,6,48,48,True,3.8063,3,True,2.433,1.167,
seq_004,4720,camera_3,46,OK,3,48,48,True,3.8063,3,True,-0.718,1.167,
seq_004,4730,camera_1,47,L2_not_in_candidates,3,48,80,False,-1.5405,1,False,,,
seq_004,4735,camera_5,81,L1_ghost,,,48,True,,2,False,,,
seq_004,4755,camera_1,48,L1_ghost,,,81,False,,0,False,,,
seq_004,4780,camera_7,20,L2_not_in_candidates,7,48,82,False,-2.5676,0,False,,,
seq_004,4785,camera_5,82,L1_ghost,,,48,True,,2,False,,,
seq_004,4805,camera_5,83,L1_ghost,,,48,True,,2,False,,,
seq_004,4825,camera_5,84,L1_ghost,,,48,True,,2,False,,,
seq_004,4835,camera_4,30,OK,6,48,48,True,2.42,1,True,-0.471,4.333,
seq_004,4845,camera_1,49,L1_ghost,,,83,False,,2,False,,,
seq_004,4850,camera_7,21,L2_not_in_candidates,7,82,84,False,-3.1076,1,True,-0.244,0.167,
seq_004,4860,camera_5,85,L1_ghost,,,48,True,,3,False,,,
seq_004,4880,camera_2,50,OK,6,48,48,True,3.8063,3,True,0.895,2.333,
seq_004,4905,camera_2,51,L2_not_in_candidates,4,79,48,True,3.8063,3,False,,,
seq_004,4905,camera_4,31,OK,8,48,48,True,2.42,1,True,2.171,1.333,
seq_004,4905,camera_5,86,OK,2,48,48,True,3.1131,1,True,0.754,2.333,
seq_004,4925,camera_5,87,OK,4,48,48,True,3.1131,2,True,-0.034,3.0,
seq_004,4930,camera_2,52,OK,4,48,48,True,3.1131,2,True,-0.672,4.5,
seq_004,4940,camera_3,47,OK,4,48,48,True,3.1131,2,True,-1.066,3.0,
seq_004,4940,camera_5,88,L1_ghost,,,48,True,,2,False,,,48
seq_004,4955,camera_3,48,OK,2,48,48,True,3.1131,2,True,-1.767,3.5,
seq_004,4970,camera_1,50,L2_not_in_candidates,4,48,85,False,-0.8775,2,False,,,79
