seq,fid,cam,tid,layer,want,actual,actual_outcome,E1_choice,E1_outcome,E1_want_score,E2_choice,E2_outcome,E2_want_score,E3_choice,E3_outcome,E3_want_score
seq_000,2860,camera_5,44,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,2860,camera_5,45,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,2915,camera_5,46,L1_ghost,,4,錯,,開新,,4,錯,,4,錯,
seq_000,2915,camera_7,11,L2_not_in_candidates,24,,開新,,開新,,,開新,-0.565,23,錯,0.628
seq_000,2935,camera_2,18,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,2975,camera_5,47,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_000,3015,camera_1,10,L2_not_in_candidates,4,,開新,,開新,,,開新,-2.463,,開新,-1.269
seq_000,3015,camera_5,48,L1_ghost,,4,錯,,開新,,4,錯,,4,錯,
seq_000,3035,camera_2,19,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,3040,camera_3,9,L2_not_in_candidates,26,4,錯,4,錯,,4,錯,,4,錯,
seq_000,3040,camera_5,49,OK,4,4,對,4,對,4.307,4,對,3.113,4,對,4.307
seq_000,3080,camera_1,11,L1_ghost,,,開新,,開新,,,開新,,,開新,
seq_000,3080,camera_1,12,L2_not_in_candidates,4,,開新,,開新,,,開新,-2.427,,開新,-1.233
seq_000,3080,camera_5,50,L1_ghost,,4,錯,,開新,,,開新,,4,錯,
seq_000,3085,camera_5,51,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_000,3125,camera_3,10,OK,4,4,對,4,對,4.307,4,對,3.113,4,對,4.307
seq_000,3140,camera_4,13,OK,4,4,對,4,對,4.307,4,對,3.113,4,對,4.307
seq_000,3150,camera_2,20,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,3210,camera_2,21,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,3255,camera_3,11,L2_not_in_candidates,28,4,錯,4,錯,,4,錯,,4,錯,
seq_000,3275,camera_3,12,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,3305,camera_5,52,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_000,3340,camera_5,53,L1_ghost,,4,錯,,開新,,4,錯,,4,錯,
seq_000,3340,camera_6,31,OK,4,4,對,4,對,3.614,4,對,2.42,4,對,3.614
seq_000,3345,camera_4,14,OK,4,4,對,4,對,3.614,4,對,2.42,4,對,3.614
seq_000,3395,camera_3,13,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,3415,camera_1,13,L1_ghost,,,開新,,開新,,,開新,,,開新,
seq_000,3420,camera_2,22,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,3440,camera_6,32,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_000,3445,camera_5,54,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,3455,camera_1,14,L1_ghost,,,開新,,開新,,,開新,,,開新,
seq_000,3475,camera_6,33,L2_not_in_candidates,25,4,錯,4,錯,,4,錯,,4,錯,
seq_000,3535,camera_5,55,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,3575,camera_5,56,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,3580,camera_7,12,L2_not_in_candidates,4,,開新,,開新,,,開新,1.385,4,對,2.579
seq_000,3655,camera_2,23,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,3785,camera_5,57,OK,4,4,對,4,對,4.307,4,對,3.113,4,對,4.307
seq_000,3795,camera_6,34,OK,4,4,對,4,對,3.614,4,對,2.42,4,對,3.614
seq_000,3805,camera_6,35,L2_not_in_candidates,31,4,錯,4,錯,,4,錯,,4,錯,
seq_000,3820,camera_6,36,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_000,3880,camera_6,37,L1_ghost,,4,錯,,開新,,,開新,,4,錯,
seq_000,3890,camera_2,24,OK,4,4,對,4,對,4.307,4,對,3.113,4,對,4.307
seq_000,3895,camera_1,15,L2_not_in_candidates,4,,開新,,開新,,,開新,-2.485,,開新,-1.291
seq_000,3905,camera_6,38,L1_ghost,,4,錯,,開新,,,開新,,4,錯,
seq_000,3910,camera_1,16,L1_ghost,,,開新,,開新,,,開新,,,開新,
seq_000,3925,camera_5,58,L2_not_in_candidates,32,4,錯,4,錯,,4,錯,,4,錯,
seq_000,3930,camera_2,25,OK,4,4,對,4,對,4.307,4,對,3.113,4,對,4.307
seq_000,3935,camera_6,39,OK,4,4,對,4,對,3.614,4,對,2.42,4,對,3.614
seq_000,3945,camera_5,59,L1_ghost,,4,錯,,開新,,,開新,,4,錯,
seq_000,3955,camera_7,13,L2_not_in_candidates,4,,開新,,開新,,,開新,1.424,4,對,2.618
seq_000,3960,camera_1,17,L2_not_in_candidates,4,,開新,,開新,,32,錯,-2.427,32,錯,-1.233
seq_000,3975,camera_4,15,OK,4,4,對,4,對,4.307,4,對,3.113,4,對,4.307
seq_000,3985,camera_5,60,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_000,4025,camera_5,61,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,4050,camera_3,14,L2_not_in_candidates,35,4,錯,4,錯,,4,錯,,4,錯,
seq_000,4055,camera_6,40,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_000,4065,camera_7,14,L2_not_in_candidates,4,,開新,,開新,,,開新,-2.413,,開新,-1.219
seq_000,4125,camera_2,26,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,4160,camera_4,16,OK,4,4,對,4,對,3.901,4,對,2.708,4,對,3.901
seq_000,4185,camera_5,62,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_000,4195,camera_5,63,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_000,4225,camera_3,15,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_000,4255,camera_6,41,L2_not_in_candidates,34,4,錯,4,錯,,4,錯,,4,錯,
seq_000,4270,camera_6,42,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_000,4280,camera_5,64,L1_ghost,,4,錯,,開新,,4,錯,,4,錯,
seq_000,4295,camera_6,43,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_000,4330,camera_5,65,L1_ghost,,4,錯,,開新,,,開新,,4,錯,
seq_000,4350,camera_1,18,L2_not_in_candidates,4,,開新,,開新,,,開新,-2.413,,開新,-1.219
seq_000,4370,camera_5,66,L1_ghost,,4,錯,,開新,,4,錯,,4,錯,
seq_000,4400,camera_5,67,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,4430,camera_5,68,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_000,4450,camera_5,69,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_000,4450,camera_7,15,L3_not_top1,36,,開新,,開新,,,開新,-4.399,,開新,-3.205
seq_000,4470,camera_5,70,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,4585,camera_2,27,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,4585,camera_5,71,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,4630,camera_3,16,L2_not_in_candidates,37,4,錯,4,錯,,4,錯,,4,錯,
seq_000,4630,camera_4,17,OK,4,4,對,4,對,4.307,4,對,3.113,4,對,4.307
seq_000,4640,camera_5,72,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,4700,camera_2,28,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,4755,camera_1,19,L1_ghost,,,開新,,開新,,,開新,,,開新,
seq_000,4780,camera_5,73,L1_ghost,,4,錯,,開新,,4,錯,,4,錯,
seq_000,4785,camera_5,74,L1_ghost,,4,錯,,開新,,4,錯,,4,錯,
seq_000,4790,camera_5,75,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,4835,camera_5,76,L3_not_top1,38,4,錯,4,錯,,4,錯,-0.521,4,錯,0.673
seq_000,4855,camera_5,77,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_000,4870,camera_5,78,L1_ghost,,4,錯,,開新,,4,錯,,4,錯,
seq_000,4870,camera_5,79,L1_ghost,,4,錯,,開新,,4,錯,,4,錯,
seq_000,4880,camera_5,80,L1_ghost,,4,錯,,開新,,4,錯,,4,錯,
seq_000,4880,camera_5,81,L1_ghost,,4,錯,,開新,,,開新,,4,錯,
seq_000,4940,camera_4,18,OK,4,4,對,4,對,4.307,4,對,3.113,4,對,4.307
seq_000,4975,camera_5,82,L1_ghost,,4,錯,,開新,,,開新,,4,錯,
seq_000,5010,camera_2,29,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,5040,camera_2,30,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,5060,camera_5,83,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,5100,camera_5,84,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,5115,camera_4,19,OK,4,4,對,4,對,4.307,4,對,3.113,4,對,4.307
seq_000,5155,camera_5,85,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,5215,camera_5,86,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_000,5255,camera_4,20,OK,4,4,對,4,對,4.307,4,對,3.113,4,對,4.307
seq_000,5290,camera_4,21,OK,4,4,對,4,對,4.307,4,對,3.113,4,對,4.307
seq_000,5310,camera_5,87,OK,4,4,對,4,對,4.307,4,對,3.113,4,對,4.307
seq_000,5365,camera_5,88,OK,4,4,對,4,對,4.307,4,對,3.113,4,對,4.307
seq_000,5375,camera_5,89,OK,4,4,對,4,對,4.307,4,對,3.113,4,對,4.307
seq_000,5405,camera_5,90,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_000,5420,camera_5,91,L1_ghost,,4,錯,,開新,,,開新,,4,錯,
seq_000,5435,camera_5,92,L1_ghost,,4,錯,,開新,,,開新,,4,錯,
seq_000,5460,camera_6,44,L4_below_threshold,4,,開新,4,對,2.602,,開新,1.408,4,對,2.602
seq_000,5465,camera_5,93,L1_ghost,,40,錯,,開新,,4,錯,,4,錯,
seq_000,5510,camera_2,31,OK,4,4,對,4,對,4.307,4,對,3.113,4,對,4.307
seq_000,5550,camera_5,94,L3_not_top1,4,40,錯,40,錯,,40,錯,3.061,40,錯,4.255
seq_000,5555,camera_6,45,L1_ghost,,,開新,,開新,,,開新,,,開新,
seq_000,5610,camera_6,46,L3_not_top1,4,40,錯,40,錯,,40,錯,0.024,40,錯,1.218
seq_000,5615,camera_7,16,L2_not_in_candidates,40,,開新,,開新,,,開新,0.427,40,對,1.621
seq_000,5635,camera_5,95,L1_ghost,,4,錯,,開新,,4,錯,,4,錯,
seq_000,5700,camera_5,96,L1_ghost,,4,錯,,開新,,4,錯,,4,錯,
seq_000,5760,camera_6,47,L1_ghost,,40,錯,,開新,,,開新,,,開新,
seq_000,5790,camera_4,22,L3_not_top1,40,4,錯,4,錯,,4,錯,-2.834,4,錯,-1.64
seq_000,5790,camera_7,17,L2_not_in_candidates,40,,開新,,開新,,,開新,-2.788,,開新,-1.594
seq_000,5840,camera_2,32,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,5925,camera_5,97,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_000,5970,camera_7,18,L2_not_in_candidates,43,,開新,,開新,,,開新,-0.815,40,錯,0.378
seq_000,6000,camera_6,48,L2_not_in_candidates,42,40,錯,40,錯,,40,錯,,40,錯,
seq_000,6025,camera_4,23,OK,4,4,對,4,對,4.307,4,對,3.113,4,對,4.307
seq_000,6070,camera_2,33,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,6105,camera_6,49,L2_not_in_candidates,40,4,錯,4,錯,,4,錯,-0.691,4,錯,0.503
seq_000,6125,camera_6,50,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_000,6160,camera_5,98,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,6160,camera_6,51,OK,4,4,對,4,對,4.307,4,對,3.113,4,對,4.307
seq_000,6230,camera_5,99,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_000,6235,camera_5,100,L3_not_top1,44,4,錯,4,錯,,4,錯,-1.013,4,錯,0.18
seq_000,6245,camera_7,19,L2_not_in_candidates,4,,開新,,開新,,,開新,-2.413,,開新,-1.219
seq_000,6250,camera_7,20,L2_not_in_candidates,4,,開新,,開新,,45,錯,-2.413,45,錯,-1.219
seq_000,6345,camera_7,21,L2_not_in_candidates,46,,開新,,開新,,,開新,0.283,4,錯,1.476
seq_000,6350,camera_2,34,OK,4,4,對,4,對,4.307,4,對,3.113,4,對,4.307
seq_000,6360,camera_1,20,L2_not_in_candidates,4,,開新,,開新,,,開新,-2.492,,開新,-1.298
seq_000,6360,camera_1,21,L1_ghost,,,開新,,開新,,,開新,,,開新,
seq_000,6365,camera_5,101,L1_ghost,,4,錯,,開新,,4,錯,,4,錯,
seq_000,6395,camera_3,17,L2_not_in_candidates,48,4,錯,4,錯,,4,錯,,4,錯,
seq_000,6450,camera_5,102,OK,4,4,對,4,對,4.307,4,對,3.113,4,對,4.307
seq_000,6470,camera_5,103,L1_ghost,,4,錯,,開新,,4,錯,,4,錯,
seq_000,6520,camera_7,22,L1_ghost,,,開新,,開新,,,開新,,42,錯,
seq_000,6560,camera_7,23,L2_not_in_candidates,47,,開新,,開新,,,開新,,42,錯,
seq_000,6640,camera_5,104,L1_ghost,,40,錯,,開新,,,開新,,,開新,
seq_000,6665,camera_1,22,L1_ghost,,,開新,,開新,,,開新,,,開新,
seq_000,6665,camera_6,52,L3_not_top1,4,40,錯,40,錯,,40,錯,-2.887,40,錯,-1.694
seq_000,6700,camera_6,53,L1_ghost,,40,錯,,開新,,40,錯,,40,錯,
seq_000,6765,camera_5,105,OK,4,4,對,4,對,4.307,4,對,3.113,4,對,4.307
seq_000,6770,camera_6,54,L1_ghost,,40,錯,,開新,,,開新,,,開新,
seq_000,6845,camera_5,106,L1_ghost,,4,錯,,開新,,4,錯,,4,錯,
seq_000,6865,camera_1,23,L1_ghost,,,開新,,開新,,,開新,,,開新,
seq_000,6870,camera_5,107,L3_not_top1,40,4,錯,4,錯,,4,錯,-2.413,4,錯,-1.219
seq_000,6905,camera_4,24,OK,4,4,對,4,對,4.307,4,對,3.113,4,對,4.307
seq_000,6995,camera_2,35,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,7005,camera_1,24,L1_ghost,,,開新,,開新,,,開新,,,開新,
seq_000,7090,camera_5,108,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
